id,Region_Code,Region,Area_Code,Borough,Electorate,ExpectedBallots,VerifiedBallotPapers,Pct_Turnout,Votes_Cast,Valid_Votes,Remain,Leave,Rejected_Ballots,No_official_mark,Voting_for_both_answers,Writing_or_mark,Unmarked_or_void,Pct_Remain,Pct_Leave,Pct_Rejected
1,E12000007,London,E09000001,City of London,5987,4405,4405,73.58,4405,4399,3312,1087,6,0,2,0,4,75.29,24.71,0.14
2,E12000007,London,E09000002,Barking and Dagenham,115812,73943,73941,63.85,73941,73880,27750,46130,61,0,21,0,40,37.56,62.44,0.08
3,E12000007,London,E09000003,Barnet,223467,161209,161208,72.14,161218,161033,100210,60823,185,0,54,12,119,62.23,37.77,0.11
4,E12000007,London,E09000004,Bexley,170779,128571,128570,75.28,128570,128489,47603,80886,81,5,35,0,41,37.05,62.95,0.06
5,E12000007,London,E09000005,Brent,186793,121676,121678,65.14,121671,121404,72523,48881,267,0,157,0,110,59.74,40.26,0.22
6,E12000007,London,E09000006,Bromley,231473,182570,182570,78.87,182570,182432,92398,90034,138,0,43,0,95,50.65,49.35,0.08
7,E12000007,London,E09000007,Camden,145425,95288,95282,65.52,95281,95133,71295,23838,148,0,54,8,86,74.94,25.06,0.16
8,E12000007,London,E09000008,Croydon,245349,171295,171292,69.81,171289,171134,92913,78221,155,0,73,5,77,54.29,45.71,0.09
9,E12000007,London,E09000009,Ealing,212991,149267,149267,70.08,149268,149041,90024,59017,227,0,115,3,109,60.4,39.6,0.15
10,E12000007,London,E09000010,Enfield,198387,137054,137056,69.09,137056,136906,76425,60481,150,0,69,1,80,55.82,44.18,0.11
11,E12000007,London,E09000011,Greenwich,168967,117470,117472,69.52,117470,117365,65248,52117,105,0,35,1,69,55.59,44.41,0.09
12,E12000007,London,E09000012,Hackney,163284,106422,106422,65.18,106422,106266,83398,22868,156,7,44,35,70,78.48,21.52,0.15
13,E12000007,London,E09000013,Hammersmith and Fulham,114863,80351,80350,69.95,80347,80242,56188,24054,105,0,32,8,65,70.02,29.98,0.13
14,E12000007,London,E09000014,Haringey,150098,106043,106034,70.64,106032,105846,79991,25855,186,0,71,0,115,75.57,24.43,0.18
15,E12000007,London,E09000015,Harrow,162397,117363,117361,72.26,117352,117225,64042,53183,127,0,50,6,71,54.63,45.37,0.11
16,E12000007,London,E09000016,Havering,183082,139179,139176,76.02,139175,139086,42201,96885,89,1,25,1,62,30.34,69.66,0.06
17,E12000007,London,E09000017,Hillingdon,193033,133171,133171,68.99,133170,133022,58040,74982,148,0,55,16,77,43.63,56.37,0.11
18,E12000007,London,E09000018,Hounslow,165050,115211,115209,69.8,115208,115076,58755,56321,132,0,39,6,87,51.06,48.94,0.11
19,E12000007,London,E09000019,Islington,144514,101739,101726,70.39,101723,101600,76420,25180,123,0,47,2,74,75.22,24.78,0.12
20,E12000007,London,E09000020,Kensington and Chelsea,83042,54803,54801,65.99,54801,54739,37601,17138,62,0,14,2,46,68.69,31.31,0.11
21,E12000007,London,E09000021,Kingston upon Thames,108838,85334,85335,78.4,85330,85270,52533,32737,60,0,16,3,41,61.61,38.39,0.07
22,E12000007,London,E09000022,Lambeth,210800,142162,142162,67.44,142162,141924,111584,30340,238,0,104,0,134,78.62,21.38,0.17
23,E12000007,London,E09000023,Lewisham,197514,124634,124622,63.1,124637,124473,86955,37518,164,0,61,1,102,69.86,30.14,0.13
24,E12000007,London,E09000024,Merton,136352,100215,100207,73.49,100207,100100,63003,37097,107,0,45,0,62,62.94,37.06,0.11
25,E12000007,London,E09000025,Newham,176985,104869,104861,59.25,104864,104699,55328,49371,165,9,87,0,69,52.84,47.16,0.16
26,E12000007,London,E09000026,Redbridge,189843,128439,128423,67.63,128397,128233,69213,59020,164,0,78,3,83,53.97,46.03,0.13
27,E12000007,London,E09000027,Richmond upon Thames,132632,108892,108888,82.09,108876,108806,75396,33410,70,0,26,2,42,69.29,30.71,0.06
28,E12000007,London,E09000028,Southwark,195875,129688,129680,66.2,129677,129502,94293,35209,175,0,60,5,110,72.81,27.19,0.13
29,E12000007,London,E09000029,Sutton,140288,106633,106630,76.01,106633,106560,49319,57241,73,0,25,7,41,46.28,53.72,0.07
30,E12000007,London,E09000030,Tower Hamlets,167820,108421,108403,64.6,108420,108235,73011,35224,185,0,105,6,74,67.46,32.54,0.17
31,E12000007,London,E09000031,Waltham Forest,162983,108695,108689,66.69,108689,108551,64156,44395,138,4,44,9,81,59.1,40.9,0.13
32,E12000007,London,E09000032,Wandsworth,219521,158018,158018,71.98,158018,157884,118463,39421,134,0,55,0,79,75.03,24.97,0.08
33,E12000007,London,E09000033,Westminster,120524,78325,78325,64.99,78325,78196,53928,24268,129,0,47,1,81,68.97,31.03,0.16
